"Remote Address","date time","temperature"
 ::1,"2022-11-08 13:37:10",21.0°C
::1,"2022-11-08 13:37:10",21.0°C
::1,"2022-11-08 13:37:10",22.0°C
192.168.212.36,"2022-11-08 14:12:56",21.0°C
192.168.212.36,"2022-11-08 15:25:00",22.5°C
192.168.212.36,"2022-11-08 15:25:00",22.5°C
192.168.8.131,"2022-11-09 09:19:23",23.0°C
192.168.8.131,"2022-11-09 09:19:23",23.0°C
192.168.8.131,"2022-11-09 09:19:23",23.0°C
192.168.8.131,"2022-11-09 09:19:23",23.0°C
192.168.8.131,"2022-11-09 11:15:00",21.5°C
::1,"2022-11-16 17:12:59",0.0°C
::1,"2022-11-16 17:19:24",0.0°C
::1,"<?=date('Y-m-d H:i:s', $current_time) ?>",18.5°C
::1,"<?=date('Y-m-d H:i:s', $current_time) ?>",18.6°C
::1,"<?=date('Y-m-d H:i:s', $current_time) ?>",10°C
::1,"<?=date('Y-m-d H:i:s', $current_time) ?>",8.5°C
